Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Sale price,Categories,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
variable,AB-928,ADIRE BAGGY TROUSER (WITH SIDE POCKETS),1,1,visible,RELAXED-FIT SHORTS THAT OFFER COMFORT AND A TRENDY STREETWEAR VIBE.,"RELAXED-FIT SHORTS THAT OFFER COMFORT AND A TRENDY STREETWEAR VIBE.

Care: Hand wash in cold water or dry clean. Store in a cool, dry place away from direct sunlight.",,,Bespoke Wears,adire-baggy-trouser-with-side-pockets.png,,Size,"S, M, L, XL, XXL",1,1
variation,AB-928-S,,1,0,visible,,,15000,13000,,,ADIRE BAGGY TROUSER (WITH SIDE POCKETS),Size,S,1,1
variation,AB-928-M,,1,0,visible,,,15000,13000,,,ADIRE BAGGY TROUSER (WITH SIDE POCKETS),Size,M,1,1
variation,AB-928-L,,1,0,visible,,,15000,13000,,,ADIRE BAGGY TROUSER (WITH SIDE POCKETS),Size,L,1,1
variation,AB-928-XL,,1,0,visible,,,15000,13000,,,ADIRE BAGGY TROUSER (WITH SIDE POCKETS),Size,XL,1,1
variation,AB-928-XXL,,1,0,visible,,,15000,13000,,,ADIRE BAGGY TROUSER (WITH SIDE POCKETS),Size,XXL,1,1
variable,AB-688,ADIRE BAGGY TROUSER (WITHOUT SIDE POCKETS),1,0,visible,RELAXED-FIT SHORTS THAT OFFER COMFORT AND A TRENDY STREETWEAR VIBE.,"RELAXED-FIT SHORTS THAT OFFER COMFORT AND A TRENDY STREETWEAR VIBE.

Care: Hand wash in cold water or dry clean. Store in a cool, dry place away from direct sunlight.",,,Bespoke Wears,adire-baggy-trouser.png,,Size,"S, M, L, XL, XXL",1,1
variation,AB-688-S,,1,0,visible,,,9000,8000,,,ADIRE BAGGY TROUSER (WITHOUT SIDE POCKETS),Size,S,1,1
variation,AB-688-M,,1,0,visible,,,9000,8000,,,ADIRE BAGGY TROUSER (WITHOUT SIDE POCKETS),Size,M,1,1
variation,AB-688-L,,1,0,visible,,,9000,8000,,,ADIRE BAGGY TROUSER (WITHOUT SIDE POCKETS),Size,L,1,1
variation,AB-688-XL,,1,0,visible,,,9000,8000,,,ADIRE BAGGY TROUSER (WITHOUT SIDE POCKETS),Size,XL,1,1
variation,AB-688-XXL,,1,0,visible,,,9000,8000,,,ADIRE BAGGY TROUSER (WITHOUT SIDE POCKETS),Size,XXL,1,1
variable,AB-718,Adire Eleso,1,0,visible,Handcrafted Adire piece from AdireBloom.,"Handcrafted Adire piece from AdireBloom.

Care: Hand wash in cold water or dry clean. Store in a cool, dry place away from direct sunlight.",,,Tie & Dye Fabrics,adire-eleso.jpg,,Size,"3 yards, 6 yards",1,1
variation,AB-718-3-yards,,1,0,visible,,,17000,15000,,,Adire Eleso,Size,3 yards,1,1
variation,AB-718-6-yards,,1,0,visible,,,17000,15000,,,Adire Eleso,Size,6 yards,1,1
variable,AB-717,Adire Onimoto,1,0,visible,Handcrafted Adire piece from AdireBloom.,"Handcrafted Adire piece from AdireBloom.

Care: Hand wash in cold water or dry clean. Store in a cool, dry place away from direct sunlight.",,,Tie & Dye Fabrics,adire-onimoto.jpg,,Size,"3 yards, 6 yards",1,1
variation,AB-717-3-yards,,1,0,visible,,,16000,15000,,,Adire Onimoto,Size,3 yards,1,1
variation,AB-717-6-yards,,1,0,visible,,,16000,15000,,,Adire Onimoto,Size,6 yards,1,1
variable,AB-720,Customized batik,1,0,visible,price on order,"price on order

Care: Hand wash in cold water or dry clean. Store in a cool, dry place away from direct sunlight.",,,Batik,customized-batik-2.jpg,,Size,"3 yards, 6 yards",1,1
variation,AB-720-3-yards,,1,0,visible,,,,,,,Customized batik,Size,3 yards,1,1
variation,AB-720-6-yards,,1,0,visible,,,,,,,Customized batik,Size,6 yards,1,1
variable,AB-654,CUSTOMIZED BATIK,1,0,visible,"ANY STYLE, IDEAS, WHATEVER YOUR INSPIRATION IS, SHOWCASING ON YOUR FABRICS","ANY STYLE, IDEAS, WHATEVER YOUR INSPIRATION IS, SHOWCASING ON YOUR FABRICS

Care: Hand wash in cold water or dry clean. Store in a cool, dry place away from direct sunlight.",,,Batik,customized-batik.jpg,,Size,"3 yards, 6 yards",1,1
variation,AB-654-3-yards,,1,0,visible,,,,,,,CUSTOMIZED BATIK,Size,3 yards,1,1
variation,AB-654-6-yards,,1,0,visible,,,,,,,CUSTOMIZED BATIK,Size,6 yards,1,1
variable,AB-682,CUSTOMIZED HERITAGE TOPS,1,0,visible,"VIBRANT TOPS FEATURING CREATIVE BLENDS OF COLORS, PERFECT FOR A STANDOUT CASUAL LOOK.","VIBRANT TOPS FEATURING CREATIVE BLENDS OF COLORS, PERFECT FOR A STANDOUT CASUAL LOOK.

Care: Hand wash in cold water or dry clean. Store in a cool, dry place away from direct sunlight.",,,Bespoke Wears,customized-heritage-tops.png,,Size,"S, M, L, XL, XXL",1,1
variation,AB-682-S,,1,0,visible,,,9000,8000,,,CUSTOMIZED HERITAGE TOPS,Size,S,1,1
